,Unnamed: 0,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,gender_map,race/ethinicity_map,parental_level_of_education_map,lunch_map,test_preparation_course_map,Result,math_performance,reading_performance,writing_performance,total,percentage,grades,Result_map,grades_map
223,223,male,group D,some high school,standard,none,86,80,75,0,4,5,1,0,Pass,1,1,1,241,80.33333333333333,Distinction,1,4
224,224,female,group B,associate's degree,standard,completed,52,66,73,1,1,3,1,1,Pass,1,1,1,191,63.66666666666667,first,1,3
225,225,female,group E,master's degree,free/reduced,none,45,56,54,1,5,2,2,0,Pass,1,1,1,155,51.66666666666667,second,1,2
226,226,female,group C,some college,standard,none,72,72,71,1,2,6,1,0,Pass,1,1,1,215,71.66666666666667,first,1,3
227,227,male,group D,high school,standard,none,57,50,54,0,4,4,1,0,Pass,1,1,1,161,53.666666666666664,second,1,2
228,228,male,group A,some high school,free/reduced,none,68,72,64,0,3,5,2,0,Pass,1,1,1,204,68.0,first,1,3
229,229,female,group C,some college,standard,completed,88,95,94,1,2,6,1,1,Pass,1,1,1,277,92.33333333333333,Distinction,1,4
230,230,male,group D,some college,standard,none,76,64,66,0,4,6,1,0,Pass,1,1,1,206,68.66666666666667,first,1,3
231,231,male,group C,associate's degree,standard,none,46,43,42,0,2,3,1,0,Pass,1,1,1,131,43.666666666666664,third,1,1
232,232,female,group B,bachelor's degree,standard,none,67,86,83,1,1,1,1,0,Pass,1,1,1,236,78.66666666666666,first,1,3
233,233,male,group E,some high school,standard,none,92,87,78,0,5,5,1,0,Pass,1,1,1,257,85.66666666666667,Distinction,1,4
234,234,male,group C,bachelor's degree,standard,completed,83,82,84,0,2,1,1,1,Pass,1,1,1,249,83.0,Distinction,1,4
235,235,male,group D,associate's degree,standard,none,80,75,77,0,4,3,1,0,Pass,1,1,1,232,77.33333333333333,first,1,3
236,236,male,group D,bachelor's degree,free/reduced,none,63,66,67,0,4,1,2,0,Pass,1,1,1,196,65.33333333333333,first,1,3
237,237,female,group D,some high school,standard,completed,64,60,74,1,4,5,1,1,Pass,1,1,1,198,66.0,first,1,3
238,238,male,group B,some college,standard,none,54,52,51,0,1,6,1,0,Pass,1,1,1,157,52.33333333333333,second,1,2
239,239,male,group C,associate's degree,standard,none,84,80,80,0,2,3,1,0,Pass,1,1,1,244,81.33333333333333,Distinction,1,4
240,240,male,group D,high school,free/reduced,completed,73,68,66,0,4,4,2,1,Pass,1,1,1,207,69.0,first,1,3
241,241,female,group E,bachelor's degree,standard,none,80,83,83,1,5,1,1,0,Pass,1,1,1,246,82.0,Distinction,1,4
242,242,female,group D,high school,standard,none,56,52,55,1,4,4,1,0,Pass,1,1,1,163,54.333333333333336,second,1,2
243,243,male,group E,some college,standard,none,59,51,43,0,5,6,1,0,Pass,1,1,1,153,51.0,second,1,2
244,244,male,group D,some high school,standard,none,75,74,69,0,4,5,1,0,Pass,1,1,1,218,72.66666666666667,first,1,3
245,245,male,group C,associate's degree,standard,none,85,76,71,0,2,3,1,0,Pass,1,1,1,232,77.33333333333333,first,1,3
246,246,male,group E,associate's degree,standard,none,89,76,74,0,5,3,1,0,Pass,1,1,1,239,79.66666666666666,first,1,3
247,247,female,group B,high school,standard,completed,58,70,68,1,1,4,1,1,Pass,1,1,1,196,65.33333333333333,first,1,3
248,248,female,group B,high school,standard,none,65,64,62,1,1,4,1,0,Pass,1,1,1,191,63.66666666666667,first,1,3
249,249,male,group C,high school,standard,none,68,60,53,0,2,4,1,0,Pass,1,1,1,181,60.333333333333336,first,1,3
250,250,male,group A,some high school,standard,completed,47,49,49,0,3,5,1,1,Pass,1,1,1,145,48.333333333333336,third,1,1
251,251,female,group D,some college,free/reduced,none,71,83,83,1,4,6,2,0,Pass,1,1,1,237,79.0,first,1,3
252,252,female,group B,some high school,standard,completed,60,70,70,1,1,5,1,1,Pass,1,1,1,200,66.66666666666666,first,1,3
253,253,male,group D,master's degree,standard,none,80,80,72,0,4,2,1,0,Pass,1,1,1,232,77.33333333333333,first,1,3
254,254,male,group D,high school,standard,none,54,52,52,0,4,4,1,0,Pass,1,1,1,158,52.666666666666664,second,1,2
255,255,female,group E,some college,standard,none,62,73,70,1,5,6,1,0,Pass,1,1,1,205,68.33333333333333,first,1,3
256,256,female,group C,associate's degree,free/reduced,none,64,73,68,1,2,3,2,0,Pass,1,1,1,205,68.33333333333333,first,1,3
257,257,male,group C,associate's degree,standard,completed,78,77,77,0,2,3,1,1,Pass,1,1,1,232,77.33333333333333,first,1,3
258,258,female,group B,some college,standard,none,70,75,78,1,1,6,1,0,Pass,1,1,1,223,74.33333333333333,first,1,3
259,259,female,group C,master's degree,free/reduced,completed,65,81,81,1,2,2,2,1,Pass,1,1,1,227,75.66666666666667,first,1,3
260,260,female,group C,some high school,free/reduced,completed,64,79,77,1,2,5,2,1,Pass,1,1,1,220,73.33333333333333,first,1,3
261,261,male,group C,some college,standard,completed,79,79,78,0,2,6,1,1,Pass,1,1,1,236,78.66666666666666,first,1,3
262,262,female,group C,some high school,free/reduced,none,44,50,51,1,2,5,2,0,Pass,1,1,1,145,48.333333333333336,third,1,1
263,263,female,group E,high school,standard,none,99,93,90,1,5,4,1,0,Pass,1,1,1,282,94.0,Distinction,1,4
264,264,male,group D,high school,standard,none,76,73,68,0,4,4,1,0,Pass,1,1,1,217,72.33333333333334,first,1,3
265,265,male,group D,some high school,free/reduced,none,59,42,41,0,4,5,2,0,Pass,1,1,1,142,47.333333333333336,third,1,1
266,266,female,group C,bachelor's degree,standard,none,63,75,81,1,2,1,1,0,Pass,1,1,1,219,73.0,first,1,3
267,267,female,group D,high school,standard,none,69,72,77,1,4,4,1,0,Pass,1,1,1,218,72.66666666666667,first,1,3
268,268,female,group D,associate's degree,standard,completed,88,92,95,1,4,3,1,1,Pass,1,1,1,275,91.66666666666666,Distinction,1,4
269,269,female,group E,some college,free/reduced,none,71,76,70,1,5,6,2,0,Pass,1,1,1,217,72.33333333333334,first,1,3
270,270,male,group C,bachelor's degree,standard,none,69,63,61,0,2,1,1,0,Pass,1,1,1,193,64.33333333333333,first,1,3
271,271,male,group C,some college,standard,none,58,49,42,0,2,6,1,0,Pass,1,1,1,149,49.666666666666664,third,1,1
272,272,female,group D,associate's degree,free/reduced,none,47,53,58,1,4,3,2,0,Pass,1,1,1,158,52.666666666666664,second,1,2
273,273,female,group D,some college,standard,none,65,70,71,1,4,6,1,0,Pass,1,1,1,206,68.66666666666667,first,1,3
274,274,male,group B,some college,standard,completed,88,85,76,0,1,6,1,1,Pass,1,1,1,249,83.0,Distinction,1,4
275,275,male,group C,bachelor's degree,standard,none,83,78,73,0,2,1,1,0,Pass,1,1,1,234,78.0,first,1,3
276,276,female,group C,some high school,standard,completed,85,92,93,1,2,5,1,1,Pass,1,1,1,270,90.0,Distinction,1,4
277,277,female,group E,high school,standard,completed,59,63,75,1,5,4,1,1,Pass,1,1,1,197,65.66666666666666,first,1,3
278,278,female,group C,some high school,free/reduced,none,65,86,80,1,2,5,2,0,Pass,1,1,1,231,77.0,first,1,3
279,279,male,group B,bachelor's degree,free/reduced,none,73,56,57,0,1,1,2,0,Pass,1,1,1,186,62.0,first,1,3
280,280,male,group D,high school,standard,none,53,52,42,0,4,4,1,0,Pass,1,1,1,147,49.0,third,1,1
281,281,male,group D,high school,standard,none,45,48,46,0,4,4,1,0,Pass,1,1,1,139,46.33333333333333,third,1,1
282,282,female,group D,bachelor's degree,free/reduced,none,73,79,84,1,4,1,2,0,Pass,1,1,1,236,78.66666666666666,first,1,3
283,283,female,group D,some college,free/reduced,completed,70,78,78,1,4,6,2,1,Pass,1,1,1,226,75.33333333333333,first,1,3
284,284,female,group B,some high school,standard,none,37,46,46,1,1,5,1,0,Fail,0,1,1,129,43.0,fail,0,0
285,285,male,group B,associate's degree,standard,completed,81,82,82,0,1,3,1,1,Pass,1,1,1,245,81.66666666666667,Distinction,1,4
286,286,male,group E,associate's degree,standard,completed,97,82,88,0,5,3,1,1,Pass,1,1,1,267,89.0,Distinction,1,4
287,287,female,group B,some high school,standard,none,67,89,82,1,1,5,1,0,Pass,1,1,1,238,79.33333333333333,first,1,3
288,288,male,group B,bachelor's degree,free/reduced,none,88,75,76,0,1,1,2,0,Pass,1,1,1,239,79.66666666666666,first,1,3
289,289,male,group E,some high school,standard,completed,77,76,77,0,5,5,1,1,Pass,1,1,1,230,76.66666666666667,first,1,3
290,290,male,group C,associate's degree,standard,none,76,70,68,0,2,3,1,0,Pass,1,1,1,214,71.33333333333334,first,1,3
291,291,male,group D,some high school,standard,none,86,73,70,0,4,5,1,0,Pass,1,1,1,229,76.33333333333333,first,1,3
292,292,male,group C,some high school,standard,completed,63,60,57,0,2,5,1,1,Pass,1,1,1,180,60.0,second,1,2
293,293,female,group E,bachelor's degree,standard,none,65,73,75,1,5,1,1,0,Pass,1,1,1,213,71.0,first,1,3
294,294,male,group D,high school,free/reduced,completed,78,77,80,0,4,4,2,1,Pass,1,1,1,235,78.33333333333333,first,1,3
295,295,male,group B,associate's degree,free/reduced,none,67,62,60,0,1,3,2,0,Pass,1,1,1,189,63.0,first,1,3
296,296,male,group A,some high school,standard,completed,46,41,43,0,3,5,1,1,Pass,1,1,1,130,43.333333333333336,third,1,1
297,297,male,group E,associate's degree,standard,completed,71,74,68,0,5,3,1,1,Pass,1,1,1,213,71.0,first,1,3
298,298,male,group C,high school,free/reduced,completed,40,46,50,0,2,4,2,1,Pass,1,1,1,136,45.33333333333333,fail,1,0
299,299,male,group D,associate's degree,free/reduced,none,90,87,75,0,4,3,2,0,Pass,1,1,1,252,84.0,Distinction,1,4
300,300,male,group A,some college,free/reduced,completed,81,78,81,0,3,6,2,1,Pass,1,1,1,240,80.0,Distinction,1,4
301,301,male,group D,some high school,free/reduced,none,56,54,52,0,4,5,2,0,Pass,1,1,1,162,54.0,second,1,2
302,302,female,group C,associate's degree,standard,completed,67,84,81,1,2,3,1,1,Pass,1,1,1,232,77.33333333333333,first,1,3
303,303,male,group B,associate's degree,standard,none,80,76,64,0,1,3,1,0,Pass,1,1,1,220,73.33333333333333,first,1,3
304,304,female,group C,associate's degree,standard,completed,74,75,83,1,2,3,1,1,Pass,1,1,1,232,77.33333333333333,first,1,3
305,305,male,group A,some college,standard,none,69,67,69,0,3,6,1,0,Pass,1,1,1,205,68.33333333333333,first,1,3
306,306,male,group E,some college,standard,completed,99,87,81,0,5,6,1,1,Pass,1,1,1,267,89.0,Distinction,1,4
307,307,male,group C,some high school,standard,none,51,52,44,0,2,5,1,0,Pass,1,1,1,147,49.0,third,1,1
308,308,female,group B,associate's degree,free/reduced,none,53,71,67,1,1,3,2,0,Pass,1,1,1,191,63.66666666666667,first,1,3
309,309,female,group D,high school,free/reduced,none,49,57,52,1,4,4,2,0,Pass,1,1,1,158,52.666666666666664,second,1,2
310,310,female,group B,associate's degree,standard,none,73,76,80,1,1,3,1,0,Pass,1,1,1,229,76.33333333333333,first,1,3
311,311,male,group B,bachelor's degree,standard,none,66,60,57,0,1,1,1,0,Pass,1,1,1,183,61.0,first,1,3
312,312,male,group D,bachelor's degree,standard,completed,67,61,68,0,4,1,1,1,Pass,1,1,1,196,65.33333333333333,first,1,3
313,313,female,group C,associate's degree,free/reduced,completed,68,67,69,1,2,3,2,1,Pass,1,1,1,204,68.0,first,1,3
314,314,female,group C,bachelor's degree,standard,completed,59,64,75,1,2,1,1,1,Pass,1,1,1,198,66.0,first,1,3
315,315,male,group C,high school,standard,none,71,66,65,0,2,4,1,0,Pass,1,1,1,202,67.33333333333333,first,1,3
316,316,female,group D,master's degree,standard,completed,77,82,91,1,4,2,1,1,Pass,1,1,1,250,83.33333333333334,Distinction,1,4
317,317,male,group C,associate's degree,standard,none,83,72,78,0,2,3,1,0,Pass,1,1,1,233,77.66666666666666,first,1,3
318,318,male,group B,bachelor's degree,standard,none,63,71,69,0,1,1,1,0,Pass,1,1,1,203,67.66666666666666,first,1,3
319,319,female,group D,associate's degree,free/reduced,none,56,65,63,1,4,3,2,0,Pass,1,1,1,184,61.33333333333333,first,1,3
320,320,female,group C,high school,free/reduced,completed,67,79,84,1,2,4,2,1,Pass,1,1,1,230,76.66666666666667,first,1,3
321,321,female,group E,high school,standard,none,75,86,79,1,5,4,1,0,Pass,1,1,1,240,80.0,Distinction,1,4
322,322,female,group C,some college,standard,none,71,81,80,1,2,6,1,0,Pass,1,1,1,232,77.33333333333333,first,1,3
323,323,female,group C,some high school,free/reduced,none,43,53,53,1,2,5,2,0,Pass,1,1,1,149,49.666666666666664,third,1,1
324,324,female,group C,high school,free/reduced,none,41,46,43,1,2,4,2,0,Pass,1,1,1,130,43.333333333333336,third,1,1
325,325,female,group C,some college,standard,none,82,90,94,1,2,6,1,0,Pass,1,1,1,266,88.66666666666667,Distinction,1,4
326,326,male,group C,some college,standard,none,61,61,62,0,2,6,1,0,Pass,1,1,1,184,61.33333333333333,first,1,3
327,327,male,group A,some college,free/reduced,none,28,23,19,0,3,6,2,0,Fail,0,0,0,70,23.333333333333332,fail,0,0
328,328,male,group C,associate's degree,standard,completed,82,75,77,0,2,3,1,1,Pass,1,1,1,234,78.0,first,1,3
329,329,female,group B,some high school,standard,none,41,55,51,1,1,5,1,0,Pass,1,1,1,147,49.0,third,1,1
330,330,male,group C,high school,standard,none,71,60,61,0,2,4,1,0,Pass,1,1,1,192,64.0,first,1,3
331,331,male,group C,associate's degree,standard,none,47,37,35,0,2,3,1,0,Fail,1,0,0,119,39.666666666666664,fail,0,0
332,332,male,group E,associate's degree,standard,completed,62,56,53,0,5,3,1,1,Pass,1,1,1,171,56.99999999999999,second,1,2
333,333,male,group B,associate's degree,standard,none,90,78,81,0,1,3,1,0,Pass,1,1,1,249,83.0,Distinction,1,4
334,334,female,group C,bachelor's degree,standard,none,83,93,95,1,2,1,1,0,Pass,1,1,1,271,90.33333333333333,Distinction,1,4
335,335,female,group B,some college,free/reduced,none,61,68,66,1,1,6,2,0,Pass,1,1,1,195,65.0,first,1,3
336,336,male,group D,some high school,standard,completed,76,70,69,0,4,5,1,1,Pass,1,1,1,215,71.66666666666667,first,1,3
337,337,male,group C,associate's degree,standard,none,49,51,43,0,2,3,1,0,Pass,1,1,1,143,47.66666666666667,third,1,1
338,338,female,group B,some high school,free/reduced,none,24,38,27,1,1,5,2,0,Fail,0,0,0,89,29.666666666666668,fail,0,0
339,339,female,group D,some high school,free/reduced,completed,35,55,60,1,4,5,2,1,Fail,0,1,1,150,50.0,fail,0,0
340,340,male,group C,high school,free/reduced,none,58,61,52,0,2,4,2,0,Pass,1,1,1,171,56.99999999999999,second,1,2
341,341,female,group C,high school,standard,none,61,73,63,1,2,4,1,0,Pass,1,1,1,197,65.66666666666666,first,1,3
342,342,female,group B,high school,standard,completed,69,76,74,1,1,4,1,1,Pass,1,1,1,219,73.0,first,1,3
343,343,male,group D,associate's degree,standard,completed,67,72,67,0,4,3,1,1,Pass,1,1,1,206,68.66666666666667,first,1,3
344,344,male,group D,some college,standard,none,79,73,67,0,4,6,1,0,Pass,1,1,1,219,73.0,first,1,3
345,345,female,group C,high school,standard,none,72,80,75,1,2,4,1,0,Pass,1,1,1,227,75.66666666666667,first,1,3
346,346,male,group B,some college,standard,none,62,61,57,0,1,6,1,0,Pass,1,1,1,180,60.0,second,1,2
347,347,female,group C,bachelor's degree,standard,completed,77,94,95,1,2,1,1,1,Pass,1,1,1,266,88.66666666666667,Distinction,1,4
348,348,male,group D,high school,free/reduced,none,75,74,66,0,4,4,2,0,Pass,1,1,1,215,71.66666666666667,first,1,3
349,349,male,group E,associate's degree,standard,none,87,74,76,0,5,3,1,0,Pass,1,1,1,237,79.0,first,1,3
350,350,female,group B,bachelor's degree,standard,none,52,65,69,1,1,1,1,0,Pass,1,1,1,186,62.0,first,1,3
351,351,male,group E,some college,standard,none,66,57,52,0,5,6,1,0,Pass,1,1,1,175,58.333333333333336,second,1,2
352,352,female,group C,some college,standard,completed,63,78,80,1,2,6,1,1,Pass,1,1,1,221,73.66666666666667,first,1,3
353,353,female,group C,associate's degree,standard,none,46,58,57,1,2,3,1,0,Pass,1,1,1,161,53.666666666666664,second,1,2
354,354,female,group C,some college,standard,none,59,71,70,1,2,6,1,0,Pass,1,1,1,200,66.66666666666666,first,1,3
355,355,female,group B,bachelor's degree,standard,none,61,72,70,1,1,1,1,0,Pass,1,1,1,203,67.66666666666666,first,1,3
356,356,male,group A,associate's degree,standard,none,63,61,61,0,3,3,1,0,Pass,1,1,1,185,61.66666666666667,first,1,3
357,357,female,group C,some college,free/reduced,completed,42,66,69,1,2,6,2,1,Pass,1,1,1,177,59.0,second,1,2
358,358,male,group D,some college,free/reduced,none,59,62,61,0,4,6,2,0,Pass,1,1,1,182,60.66666666666667,first,1,3
359,359,female,group D,some college,standard,none,80,90,89,1,4,6,1,0,Pass,1,1,1,259,86.33333333333333,Distinction,1,4
360,360,female,group B,high school,standard,none,58,62,59,1,1,4,1,0,Pass,1,1,1,179,59.66666666666667,second,1,2
361,361,male,group B,some high school,standard,completed,85,84,78,0,1,5,1,1,Pass,1,1,1,247,82.33333333333334,Distinction,1,4
362,362,female,group C,some college,standard,none,52,58,58,1,2,6,1,0,Pass,1,1,1,168,56.00000000000001,second,1,2
363,363,female,group D,some high school,free/reduced,none,27,34,32,1,4,5,2,0,Fail,0,0,0,93,31.0,fail,0,0
364,364,male,group C,some college,standard,none,59,60,58,0,2,6,1,0,Pass,1,1,1,177,59.0,second,1,2
365,365,male,group A,bachelor's degree,free/reduced,completed,49,58,60,0,3,1,2,1,Pass,1,1,1,167,55.666666666666664,second,1,2
366,366,male,group C,high school,standard,completed,69,58,53,0,2,4,1,1,Pass,1,1,1,180,60.0,second,1,2
367,367,male,group C,bachelor's degree,free/reduced,none,61,66,61,0,2,1,2,0,Pass,1,1,1,188,62.66666666666667,first,1,3
368,368,female,group A,some high school,free/reduced,none,44,64,58,1,3,5,2,0,Pass,1,1,1,166,55.333333333333336,second,1,2
369,369,female,group D,some high school,standard,none,73,84,85,1,4,5,1,0,Pass,1,1,1,242,80.66666666666666,Distinction,1,4
370,370,male,group E,some college,standard,none,84,77,71,0,5,6,1,0,Pass,1,1,1,232,77.33333333333333,first,1,3
371,371,female,group C,some college,free/reduced,completed,45,73,70,1,2,6,2,1,Pass,1,1,1,188,62.66666666666667,first,1,3
372,372,male,group D,some high school,standard,none,74,74,72,0,4,5,1,0,Pass,1,1,1,220,73.33333333333333,first,1,3
373,373,female,group D,some college,standard,completed,82,97,96,1,4,6,1,1,Pass,1,1,1,275,91.66666666666666,Distinction,1,4
374,374,female,group D,bachelor's degree,standard,none,59,70,73,1,4,1,1,0,Pass,1,1,1,202,67.33333333333333,first,1,3
375,375,male,group E,associate's degree,free/reduced,none,46,43,41,0,5,3,2,0,Pass,1,1,1,130,43.333333333333336,third,1,1
376,376,female,group D,some high school,standard,none,80,90,82,1,4,5,1,0,Pass,1,1,1,252,84.0,Distinction,1,4
377,377,female,group D,master's degree,free/reduced,completed,85,95,100,1,4,2,2,1,Pass,1,1,1,280,93.33333333333333,Distinction,1,4
378,378,female,group A,some high school,standard,none,71,83,77,1,3,5,1,0,Pass,1,1,1,231,77.0,first,1,3
379,379,male,group A,bachelor's degree,standard,none,66,64,62,0,3,1,1,0,Pass,1,1,1,192,64.0,first,1,3
380,380,female,group B,associate's degree,standard,none,80,86,83,1,1,3,1,0,Pass,1,1,1,249,83.0,Distinction,1,4
381,381,male,group C,associate's degree,standard,completed,87,100,95,0,2,3,1,1,Pass,1,1,1,282,94.0,Distinction,1,4
382,382,male,group C,master's degree,free/reduced,none,79,81,71,0,2,2,2,0,Pass,1,1,1,231,77.0,first,1,3
383,383,female,group E,some high school,free/reduced,none,38,49,45,1,5,5,2,0,Fail,0,1,1,132,44.0,fail,0,0
384,384,female,group A,some high school,free/reduced,none,38,43,43,1,3,5,2,0,Fail,0,1,1,124,41.333333333333336,fail,0,0
385,385,female,group E,some college,standard,none,67,76,75,1,5,6,1,0,Pass,1,1,1,218,72.66666666666667,first,1,3
386,386,female,group E,bachelor's degree,standard,none,64,73,70,1,5,1,1,0,Pass,1,1,1,207,69.0,first,1,3
387,387,female,group C,associate's degree,free/reduced,none,57,78,67,1,2,3,2,0,Pass,1,1,1,202,67.33333333333333,first,1,3
388,388,female,group D,high school,standard,none,62,64,64,1,4,4,1,0,Pass,1,1,1,190,63.33333333333333,first,1,3
389,389,male,group D,master's degree,standard,none,73,70,75,0,4,2,1,0,Pass,1,1,1,218,72.66666666666667,first,1,3
390,390,male,group E,some high school,free/reduced,completed,73,67,59,0,5,5,2,1,Pass,1,1,1,199,66.33333333333333,first,1,3
391,391,female,group D,some college,standard,none,77,68,77,1,4,6,1,0,Pass,1,1,1,222,74.0,first,1,3
392,392,male,group E,some college,standard,none,76,67,67,0,5,6,1,0,Pass,1,1,1,210,70.0,first,1,3
393,393,male,group C,associate's degree,standard,completed,57,54,56,0,2,3,1,1,Pass,1,1,1,167,55.666666666666664,second,1,2
394,394,female,group C,some high school,standard,completed,65,74,77,1,2,5,1,1,Pass,1,1,1,216,72.0,first,1,3
395,395,male,group A,high school,free/reduced,none,48,45,41,0,3,4,2,0,Pass,1,1,1,134,44.666666666666664,third,1,1
396,396,female,group B,high school,free/reduced,none,50,67,63,1,1,4,2,0,Pass,1,1,1,180,60.0,second,1,2
397,397,female,group C,associate's degree,standard,none,85,89,95,1,2,3,1,0,Pass,1,1,1,269,89.66666666666666,Distinction,1,4
398,398,male,group B,some high school,standard,none,74,63,57,0,1,5,1,0,Pass,1,1,1,194,64.66666666666666,first,1,3
399,399,male,group D,some high school,standard,none,60,59,54,0,4,5,1,0,Pass,1,1,1,173,57.666666666666664,second,1,2
400,400,female,group C,some high school,standard,completed,59,54,67,1,2,5,1,1,Pass,1,1,1,180,60.0,second,1,2
401,401,male,group A,some college,standard,none,53,43,43,0,3,6,1,0,Pass,1,1,1,139,46.33333333333333,third,1,1
402,402,female,group A,some college,free/reduced,none,49,65,55,1,3,6,2,0,Pass,1,1,1,169,56.333333333333336,second,1,2
403,403,female,group D,high school,standard,completed,88,99,100,1,4,4,1,1,Pass,1,1,1,287,95.66666666666667,Distinction,1,4
404,404,female,group C,high school,standard,none,54,59,62,1,2,4,1,0,Pass,1,1,1,175,58.333333333333336,second,1,2
405,405,female,group C,some high school,standard,none,63,73,68,1,2,5,1,0,Pass,1,1,1,204,68.0,first,1,3
406,406,male,group B,associate's degree,standard,completed,65,65,63,0,1,3,1,1,Pass,1,1,1,193,64.33333333333333,first,1,3
407,407,female,group B,associate's degree,standard,none,82,80,77,1,1,3,1,0,Pass,1,1,1,239,79.66666666666666,first,1,3
408,408,female,group D,high school,free/reduced,completed,52,57,56,1,4,4,2,1,Pass,1,1,1,165,55.00000000000001,second,1,2
409,409,male,group D,associate's degree,standard,completed,87,84,85,0,4,3,1,1,Pass,1,1,1,256,85.33333333333334,Distinction,1,4
410,410,female,group D,master's degree,standard,completed,70,71,74,1,4,2,1,1,Pass,1,1,1,215,71.66666666666667,first,1,3
411,411,male,group E,some college,standard,completed,84,83,78,0,5,6,1,1,Pass,1,1,1,245,81.66666666666667,Distinction,1,4
412,412,male,group D,associate's degree,standard,none,71,66,60,0,4,3,1,0,Pass,1,1,1,197,65.66666666666666,first,1,3
413,413,male,group B,some high school,standard,completed,63,67,67,0,1,5,1,1,Pass,1,1,1,197,65.66666666666666,first,1,3
414,414,female,group C,bachelor's degree,free/reduced,completed,51,72,79,1,2,1,2,1,Pass,1,1,1,202,67.33333333333333,first,1,3
415,415,male,group E,high school,standard,none,84,73,69,0,5,4,1,0,Pass,1,1,1,226,75.33333333333333,first,1,3
416,416,male,group C,bachelor's degree,standard,completed,71,74,68,0,2,1,1,1,Pass,1,1,1,213,71.0,first,1,3
417,417,male,group C,associate's degree,standard,none,74,73,67,0,2,3,1,0,Pass,1,1,1,214,71.33333333333334,first,1,3
418,418,male,group D,some college,standard,none,68,59,62,0,4,6,1,0,Pass,1,1,1,189,63.0,first,1,3
419,419,male,group E,high school,free/reduced,completed,57,56,54,0,5,4,2,1,Pass,1,1,1,167,55.666666666666664,second,1,2
420,420,female,group C,associate's degree,free/reduced,completed,82,93,93,1,2,3,2,1,Pass,1,1,1,268,89.33333333333333,Distinction,1,4
421,421,female,group D,high school,standard,completed,57,58,64,1,4,4,1,1,Pass,1,1,1,179,59.66666666666667,second,1,2
422,422,female,group D,master's degree,free/reduced,completed,47,58,67,1,4,2,2,1,Pass,1,1,1,172,57.333333333333336,second,1,2
423,423,female,group A,some high school,standard,completed,59,85,80,1,3,5,1,1,Pass,1,1,1,224,74.66666666666667,first,1,3
424,424,male,group B,some college,free/reduced,none,41,39,34,0,1,6,2,0,Fail,1,0,0,114,38.0,fail,0,0
425,425,female,group C,some college,free/reduced,none,62,67,62,1,2,6,2,0,Pass,1,1,1,191,63.66666666666667,first,1,3
426,426,male,group C,bachelor's degree,standard,none,86,83,86,0,2,1,1,0,Pass,1,1,1,255,85.0,Distinction,1,4
427,427,male,group C,some high school,free/reduced,none,69,71,65,0,2,5,2,0,Pass,1,1,1,205,68.33333333333333,first,1,3
428,428,male,group A,some high school,free/reduced,none,65,59,53,0,3,5,2,0,Pass,1,1,1,177,59.0,second,1,2
429,429,male,group C,some high school,free/reduced,none,68,63,54,0,2,5,2,0,Pass,1,1,1,185,61.66666666666667,first,1,3
430,430,male,group C,associate's degree,free/reduced,none,64,66,59,0,2,3,2,0,Pass,1,1,1,189,63.0,first,1,3
431,431,female,group C,high school,standard,none,61,72,70,1,2,4,1,0,Pass,1,1,1,203,67.66666666666666,first,1,3
432,432,male,group C,high school,standard,none,61,56,55,0,2,4,1,0,Pass,1,1,1,172,57.333333333333336,second,1,2
433,433,female,group A,some high school,free/reduced,none,47,59,50,1,3,5,2,0,Pass,1,1,1,156,52.0,second,1,2
434,434,male,group C,some high school,standard,none,73,66,66,0,2,5,1,0,Pass,1,1,1,205,68.33333333333333,first,1,3
435,435,male,group C,some college,free/reduced,completed,50,48,53,0,2,6,2,1,Pass,1,1,1,151,50.33333333333333,second,1,2
436,436,male,group D,associate's degree,standard,none,75,68,64,0,4,3,1,0,Pass,1,1,1,207,69.0,first,1,3
437,437,male,group D,associate's degree,free/reduced,none,75,66,73,0,4,3,2,0,Pass,1,1,1,214,71.33333333333334,first,1,3
438,438,male,group C,high school,standard,none,70,56,51,0,2,4,1,0,Pass,1,1,1,177,59.0,second,1,2
439,439,male,group D,some high school,standard,completed,89,88,82,0,4,5,1,1,Pass,1,1,1,259,86.33333333333333,Distinction,1,4
440,440,female,group C,some college,standard,completed,67,81,79,1,2,6,1,1,Pass,1,1,1,227,75.66666666666667,first,1,3
441,441,female,group D,high school,standard,none,78,81,80,1,4,4,1,0,Pass,1,1,1,239,79.66666666666666,first,1,3
442,442,female,group A,some high school,free/reduced,none,59,73,69,1,3,5,2,0,Pass,1,1,1,201,67.0,first,1,3
443,443,female,group B,associate's degree,standard,none,73,83,76,1,1,3,1,0,Pass,1,1,1,232,77.33333333333333,first,1,3
444,444,male,group A,some high school,free/reduced,none,79,82,73,0,3,5,2,0,Pass,1,1,1,234,78.0,first,1,3
445,445,female,group C,some high school,standard,completed,67,74,77,1,2,5,1,1,Pass,1,1,1,218,72.66666666666667,first,1,3
446,446,male,group D,some college,free/reduced,none,69,66,60,0,4,6,2,0,Pass,1,1,1,195,65.0,first,1,3
447,447,male,group C,high school,standard,completed,86,81,80,0,2,4,1,1,Pass,1,1,1,247,82.33333333333334,Distinction,1,4
448,448,male,group B,high school,standard,none,47,46,42,0,1,4,1,0,Pass,1,1,1,135,45.0,third,1,1
449,449,male,group B,associate's degree,standard,none,81,73,72,0,1,3,1,0,Pass,1,1,1,226,75.33333333333333,first,1,3
